expression_table,expression_field
TBFS4ME_CADA_CONT_CORE_CLIE__dlm,int_cont_core__c
Cadastro_Cartao_de_Credito__dlm,num_crto__c
TBFS4ME_CADA_CONT_CORE_CLIE__dlm,ind_cont_core_spol__c
Instala_o_Aplicativo_Dispositivo_M_vel__dlm,cod_grup_apla_movl__c
Contrato_Iti__dlm,Id__c
Recuperacao_de_Credito_PF__dlm,Qtd_Dia_Atrs__c
PJ_Recuperacao_de_Credito__dlm,codigo_cliente_itau_unibanco__c
Simulacao_Carrinho_Abandonado_Alter__dlm,Nome_Subproduto_Carrinho_Abandono__c
Proposta_Cartao_Credito__dlm,Id__c
informa_o_Cadastral_CHPRAS__dlm,Data_Encerramento_Conta__c
Cadastro_Cartao_de_Credito__dlm,Data_Desbloqueio_Cart_o__c
informa_o_Cadastral_CHPRAS__dlm,num_cont_prod_clie__c
ibb_FinancialAccountBalance__dlm,Id__c
ssot__Individual__dlm,ssot__Id__c
Tabela_Visao_Propensao__dlm,COD_CHAV_CORO_CLIE__c
Cadastro_Cartao_de_Credito__dlm,dat_emis_plas_crto__c
Cadastro_Chave_PIX__dlm,cod_tipo_chav_pix__c
ssot__Individual__dlm,C_digo_Agrupamento_Grupo_Cr_dito__c
Cadastro_Chave_PIX__dlm,des_situ_cada_chav_dict__c
Recuperacao_de_Credito_PF__dlm,Dat_Vcto_Parc__c
Setup_Inicio_Relacionamento_Individual__cio,cod_sgto_cont_core_clie__c
mode_info_digl_pfis_a__dlm,qtd_dia_aces_digl_medi_3_mes__c
tbhf9me_sper_cada_pess_juri__dlm,des_sgto_vare__c
Cadastro_Cartao_de_Credito__dlm,ind_titr_ccre__c
informa_o_Cadastral_CHPRAS__dlm,Data_Primeira_Compra_Cart_o_Cr_dito__c
Recuperacao_de_Credito_PF__dlm,dat_vcto_ctrt__c
ssot__Individual__dlm,Codigo_Segmento_Conta_Prioritaria__c
TBFS4ME_CADA_CONT_CORE_CLIE__dlm,ind_tipo_cont_banc__c
Proposta_Cartao_Credito__dlm,dat_cada_prpt__c
informa_o_Cadastral_CHPRAS__dlm,cod_prod_ccre__c
informa_o_Cadastral_CHPRAS__dlm,nom_plat_ccre__c
informa_o_Cadastral_CHPRAS__dlm,cod_chav_coro_clie__c
TBFS4ME_CADA_CONT_CORE_CLIE__dlm,Nmero_Digito_Auto_Conferncia__c
Informa_es_De_Produtos_Do_Cliente__dlm,Classif_Valor_Parcela_Crediario__c
Renda_Eleita__dlm,COD_CHAV_CORO_CLIE__c
Tabela_Cliente_Rocket__dlm,des_pubi__c
tbhf9009_data_ppec_coph_dlm__dlm,ind_pose_csrc__c
Simulacao_Carrinho_Abandonado_Alter__dlm,nom_prod_crho_aban__c
ssot__Individual__dlm,Indicador_Cliente_Atrito__c
TBFS4ME_CADA_CONT_CORE_CLIE__dlm,ind_cont_core_blqa__c
Recuperacao_de_Credito_PF__dlm,num_ctrt_prod_opcr__c
tbhf9009_data_ppec_coph_dlm__dlm,ind_pose_cpsc__c
ibb_Opportunity__dlm,OwnerUserId__c
Pagamento_PIX_Emissao__dlm,cod_chav_coro_clie_orig__c
tbhf9009_data_ppec_coph_dlm__dlm,ind_pose_imol__c
Pre_Aprovado_Exclusao_Comercial__dlm,id__c
Operacao_Recuperacao_Credito_Cliente__dlm,vlr_liqo_oper_cred_liqu__c
Informa_es_De_Produtos_Do_Cliente__dlm,Classif_Valor_Parcela_de_Capitalizacao__c
informa_o_Cadastral_CHPRAS__dlm,ind_stat_cont_norl__c
Recuperacao_de_Credito_PF__dlm,qtd_parc_pago_ctrt__c
prpt_finm_imol_cgi__dlm,dat_prpt_cred_imol__c
Recuperacao_de_Credito_PF__dlm,vlr_divi_ctrt__c
Clientes_OPF_Consentimentos__dlm,dat_soli_cotm_clet_info_finn__c
TBFS4ME_CADA_CONT_CORE_CLIE__dlm,Data_Encerramento_Conta__c
ibb_FinancialAccountBalance__dlm,Valor_Saldo_Pico__c
ibb_FinancialAccountBalance__dlm,Valor_Limite__c
Clientes_OPF_Consentimentos__dlm,Nome_Marca_Interna__c
Simulacao_Carrinho_Abandonado_Alter__dlm,nom_plat_rlzd_simu__c
Dados_Manuais_Clientes__dlm,cod_chav_coro_clie__c
ibb_Opportunity__dlm,OpportunityTypeId__c
Cadastro_Cartao_de_Credito__dlm,id__c
TBFS4ME_CADA_CONT_CORE_CLIE__dlm,ind_cont_core_cdtd__c
Informa_es_De_Produtos_Do_Cliente__dlm,Classif_Valor_Parcela_Microcredito__c
Simulacao_Carrinho_Abandonado_Alter__dlm,dat_simu__c
tbhf9009_data_ppec_coph_dlm__dlm,ind_pose_mcto__c
ibb_User__dlm,Id__c
Promessas_Op_Recuperacao_Credito_Cli__dlm,cod_chav_coro_clie__c
Setup_Inicio_Relacionamento_Individual__cio,Data_Abertura_Conta__c
ssot__Individual__dlm,IdPessoa__c
Centralizador_Oferta_Pessoa_Juridica__dlm,des_prod__c
Tabela_Visao_Propensao__dlm,C_digo_Cluster__c
Tabela_Cliente_Rocket__dlm,cod_chav_coro_clie__c
TBFS4ME_CADA_CONT_CORE_CLIE__dlm,Data_Abertura_Conta__c
TBFS4ME_CADA_CONT_CORE_CLIE__dlm,Chave_Conta_Corrente__c
Operacao_Recuperacao_Credito_Cliente__dlm,Nome_Origem_Dado__c
Tabela_Visao_Propensao__dlm,id__c
Info_de_Utiliza_o_Meios_de_Pagament__dlm,num_cont_prod_clie__c
mode_info_digl_pfis_a__dlm,cod_chav_coro_clie__c
Operacao_Recuperacao_Credito_Cliente__dlm,dat_baix_oper__c
TBFS4ME_CADA_CONT_CORE_CLIE__dlm,cod_sgto_cont_core_clie__c
Aceite_DDA__dlm,DES_ESTD_ACEE_DDA__c
Dados_Manuais_Clientes__dlm,des_pubi__c
Pre_Aprovado_Exclusao_Comercial__dlm,Indicador_Limite_Produto_PA__c
Info_de_Utiliza_o_Meios_de_Pagament__dlm,idt_utiz_aprx__c
